avalanche_id,location,trigger_date_time,trigger_date_time_accuracy_code,trigger_type,avalanche_type,avalanche_size,avalanche_moisture,start_zone_aspect,snow_depth_sat,lat,lon,Avalanche Event,closest_station,station_abbr,tre200h0,tre200hn,tre200hx,tre005h0,tre005hn,ure200h0,pva200h0,tde200h0,prestah0,pp0qffh0,pp0qnhh0,ppz700h0,ppz850h0,fkl010h1,dkl010h0,fkl010h0,fu3010h0,fu3010h1,fkl010h3,fu3010h3,wcc006h0,fve010h0,rre150h0,htoauths,gre000h0,oli000h0,olo000h0,osr000h0,ods000h0,sre000h0,erefaoh0
5f7c51f6-7065-4c64-860a-51df7287e4b5,8.42359 46.779392,2023-05-19 07:00:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,N,20,46.75596295794293,8.392231746652612,0,TIT,TIT,-2.9,-3.2,-2.4,,,86.1,4.2,-4.9,697.8,,1020.6,3072.9,,10.4,165.0,6.6,23.8,37.4,10.0,36.0,,,,,261.0,,,,,,0.076
a4ad0c82-16f6-4de1-af92-ac146cabf042,8.423474 46.779387,2023-05-02 07:30:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,N,0,46.82270799956418,8.39745723031971,0,ENG,ENG,5.9,5.7,6.1,6.1,5.9,93.1,8.7,4.9,902.2,,1021.5,,1522.4,2.7,108.0,0.7,2.5,9.7,2.6,9.4,0.0,,0.0,0.0,32.0,330.0,,,,0.0,0.029
9312b9e3-9422-40e1-8539-92240b8f9de8,8.390152 46.787449,2023-04-13 07:30:00+02:00,2,EXPLOSIVE,LOOSE_SNOW,1,DRY,N,64,46.787202412277395,8.407960479085537,0,TIT,TIT,-13.5,-13.7,-13.0,,,100.0,2.2,-13.5,683.5,,1001.1,2915.8,,10.2,306.0,5.7,20.5,36.7,9.9,35.6,,,,,127.0,,,,,,0.019
8b5b35b0-dd0c-11ed-8f1e-7bb69ddca4ec,8.229566 46.753026,2023-04-18 12:30:00+02:00,0,NATURAL,FULL_DEPTH,2,WET,SE,111,46.77616630060779,8.262157366666747,0,GIH,GIH,14.3,13.8,14.9,,,58.9,9.6,6.4,962.2,1017.2,1017.9,,,4.1,43.0,1.8,6.5,14.8,3.9,14.0,0.0,,0.0,,862.0,,,,128.0,60.0,0.468
5192475d-5f0c-41d7-bde8-a82e5bea8b68,8.422294 46.780382,2023-04-18 08:00:00+02:00,4,EXPLOSIVE,SLAB,3,DRY,N,148,46.77797965544029,8.41452810111594,0,TIT,TIT,-6.1,-7.1,-5.1,,,76.1,3.0,-9.7,694.1,,1015.6,3031.7,,4.1,233.0,1.3,4.7,14.8,3.9,14.0,,,,,514.0,,,,,,0.154
1b05e8ea-984f-445d-8163-f5d970cfecf8,8.387973 46.785269,2023-04-12 07:00:00+02:00,4,EXPLOSIVE,SLAB,1,WET,NW,84,46.76758330115381,8.346802185216045,0,TIT,TIT,-4.6,-4.7,-4.5,,,99.0,4.3,-4.8,690.1,,1010.2,2985.8,,25.3,268.0,12.0,43.2,91.1,24.2,87.1,,,,,99.0,,,,,,0.019
97c5682e-950b-4c24-8c69-651f6ff3d0c8,8.035288 46.786336,2023-04-21 10:30:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,S,111,46.7915939824836,8.048475170135395,0,BRZ,BRZ,,,,,,,,,944.6,,1010.9,,,4.7,261.0,2.6,9.4,16.9,4.5,16.2,,,0.0,,,,,,,,
ad1f7e7f-180e-4f38-9562-d610574cd4c5,8.239483 46.749076,2023-04-01 06:30:00.000 +0200,2,EXPLOSIVE,SLAB,1,DRY,N,63,46.749076,8.239483,1,MER,MER,5.3,5.1,5.6,4.1,3.9,86.6,7.7,3.3,940.6,1010.5,1009.2,,,2.3,90.0,0.9,3.2,8.3,2.2,7.9,0.0,,0.0,,13.0,,,,10.0,0.0,0.016
dda75b80-ddc2-11ed-b3b1-431b3c02902e,8.263291 46.74286,2023-04-18 14:30:00+02:00,1,SNOW_GROOMER,SLAB,3,DRY,SE,147,46.74733397327217,8.264574670336367,0,MER,MER,15.8,15.5,16.2,22.2,21.1,46.7,8.4,4.4,947.3,1014.9,1016.3,,,9.3,330.0,5.4,19.4,33.5,9.2,33.1,0.0,,0.0,,818.0,,,,195.0,60.0,0.478
63723fcc-14a3-472f-a9d8-8ce81f021fe4,8.42184 46.780304,2023-04-30 07:30:00+02:00,2,EXPLOSIVE,LOOSE_SNOW,1,WET,N,97,46.777764906624725,8.4158744636483,0,TIT,TIT,-2.5,-2.8,-2.2,,,55.7,2.8,-10.2,696.8,,1019.2,3060.9,,4.1,178.0,2.8,10.1,14.8,3.8,13.7,,,,,281.0,,,,,,0.108
45a4cc4a-b623-44fe-a276-c1a4df80223b,8.420264 46.781131,2023-05-03 07:30:00+02:00,4,EXPLOSIVE,SLAB,2,DRY,N,141,46.78391909305498,8.375303065906406,0,ENG,ENG,4.0,2.3,6.3,4.4,0.7,91.4,7.4,2.7,903.9,,1023.4,,1534.5,2.9,95.0,1.2,4.3,10.4,2.7,9.7,0.0,,0.0,0.0,245.0,252.0,,,,32.0,0.094
acaee50d-c93e-4865-b666-dcf8ca1d9f21,8.226812 46.595085,2023-04-22 12:00:00+02:00,7,PERSON,SLAB,1,DRY,NW,164,46.57499480360377,8.220087593617937,0,ULR,ULR,14.8,14.2,15.7,18.8,17.9,33.9,5.7,-1.0,861.7,,1013.4,,1462.6,12.6,103.0,6.2,22.3,45.4,12.2,43.9,,,0.0,0.0,931.0,288.0,,,368.0,53.0,0.557
fdfaf590-ea4c-11ed-8348-fb5788bd30bc,8.001152 46.577404,2023-05-04 12:00:00+02:00,7,NATURAL,SLAB,2,DRY,NW,268,46.5440437024119,7.956865837257248,0,JUN,JUN,-2.7,-3.0,-2.2,,,47.9,2.4,-12.2,661.7,,1028.2,3127.2,,5.8,318.0,3.1,11.2,20.9,5.4,19.4,,,,,1043.0,195.0,,,,60.0,0.37
50374fe0-d439-11ed-a920-a702e6e7f311,8.245848 46.760908,2023-04-07 16:00:00+02:00,2,NATURAL,FULL_DEPTH,1,WET,SW,0,46.747891870729156,8.202572360554429,0,MER,MER,6.9,6.3,7.6,7.0,6.0,73.1,7.3,2.4,947.8,1017.7,1016.8,,,10.6,305.0,5.2,18.7,38.2,10.4,37.4,0.0,,0.1,,148.0,,,,145.0,0.0,0.096
